                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1895,                 0.7296,                 1.1631,                0.91713,                0.70646,                0.82389,                0.45868,                 1.5506,                 0.8245,                 1.3968,              0.0015644,              0.0015644,              0.0015644
                     36,                 1.2515,                0.77438,                 1.1597,                0.84511,                0.82979,                0.85698,                0.41706,                 1.6605,                0.94932,                 1.5693,              0.0015512,              0.0015512,              0.0015512
                     37,                 1.2709,                0.74365,                 1.1842,                0.80829,                0.80739,                0.87677,                  0.445,                  1.716,                0.82753,                 1.5471,               0.001538,               0.001538,               0.001538
                     38,                 1.2011,                0.74693,                 1.1453,                0.91242,                0.89362,                0.90291,                0.48913,                 1.5551,                0.80726,                 1.4336,              0.0015248,              0.0015248,              0.0015248
                     39,                 1.1696,                 0.7009,                 1.1346,                0.97473,                0.82072,                0.90738,                0.51106,                 1.5704,                0.74163,                 1.4214,              0.0015116,              0.0015116,              0.0015116
                     40,                 1.1793,                0.73076,                 1.1402,                0.83925,                0.76596,                0.86519,                0.43537,                 1.6238,                0.99554,                 1.4288,              0.0014984,              0.0014984,              0.0014984
                     41,                 1.2243,                0.75051,                 1.1407,                 0.8717,                0.86744,                0.92362,                0.49863,                 1.5525,                0.78248,                 1.3935,              0.0014852,              0.0014852,              0.0014852
                     42,                 1.1642,                0.70234,                 1.1307,                0.87331,                0.88006,                0.91539,                0.46915,                 1.5781,                0.73322,                 1.4241,               0.001472,               0.001472,               0.001472
                     43,                 1.1967,                0.70497,                 1.1141,                0.88654,                0.93617,                0.94789,                0.44771,                 1.6823,                0.73924,                 1.5478,              0.0014588,              0.0014588,              0.0014588
                     44,                 1.1724,                0.68806,                 1.1378,                0.92175,                0.75203,                 0.8716,                0.46762,                 1.5669,                0.70429,                 1.4391,              0.0014456,              0.0014456,              0.0014456
                     45,                 1.1776,                0.70643,                  1.151,                0.85571,                0.85106,                0.91249,                0.47276,                 1.5613,                0.78294,                 1.3993,              0.0014324,              0.0014324,              0.0014324
                     46,                 1.1738,                0.71096,                 1.1294,                0.89626,                0.80851,                0.89253,                0.47645,                 1.5946,                0.73713,                 1.4167,              0.0014192,              0.0014192,              0.0014192
                     47,                 1.1718,                0.73324,                 1.1358,                0.90393,                0.78723,                0.85855,                0.46431,                 1.5606,                0.74067,                  1.423,               0.001406,               0.001406,               0.001406
                     48,                 1.1942,                0.72775,                 1.1707,                0.88427,                0.82979,                0.89282,                0.46336,                 1.6261,                0.76719,                 1.4491,              0.0013928,              0.0013928,              0.0013928
                     49,                 1.2108,                0.70565,                 1.1501,                0.84315,                0.80851,                0.87101,                0.44012,                 1.6462,                0.76557,                 1.4441,              0.0013796,              0.0013796,              0.0013796
                     50,                 1.1658,                 0.6974,                 1.1159,                0.90044,                0.82979,                0.87712,                0.44565,                 1.5755,                 1.0119,                 1.4745,              0.0013664,              0.0013664,              0.0013664
                     51,                 1.1788,                0.71091,                 1.1412,                0.94966,                0.80289,                0.86368,                0.42191,                 1.7006,                0.89899,                 1.5009,              0.0013532,              0.0013532,              0.0013532
                     52,                 1.1654,                0.73195,                 1.1077,                0.79208,                0.82979,                0.81854,                0.40545,                 1.6973,                 1.0296,                 1.5307,                0.00134,                0.00134,                0.00134
                     53,                 1.1633,                0.68587,                 1.1103,                0.95188,                0.84184,                0.89299,                0.46728,                 1.5969,                0.76853,                 1.4158,              0.0013268,              0.0013268,              0.0013268
                     54,                  1.104,                0.65429,                 1.1196,                0.88285,                0.87234,                0.89092,                0.46036,                 1.5491,                0.74982,                 1.3946,              0.0013136,              0.0013136,              0.0013136
                     55,                 1.1305,                 0.6656,                 1.1233,                0.91276,                0.89362,                 0.9314,                0.46798,                  1.522,                0.67113,                 1.4285,              0.0013004,              0.0013004,              0.0013004
                     56,                 1.1266,                 0.6539,                 1.1068,                0.88612,                0.89362,                 0.9306,                0.46611,                 1.5471,                0.71233,                  1.467,              0.0012872,              0.0012872,              0.0012872
                     57,                 1.1152,                0.64367,                 1.1346,                 0.8657,                0.82979,                0.88481,                0.45627,                 1.6577,                0.84649,                 1.4441,               0.001274,               0.001274,               0.001274
                     58,                 1.1013,                0.64274,                 1.0981,                0.88207,                0.82979,                0.88876,                 0.4777,                 1.6041,                0.75578,                  1.388,              0.0012608,              0.0012608,              0.0012608
                     59,                 1.1055,                0.64204,                 1.1052,                0.93127,                0.87234,                0.91067,                0.50009,                 1.5521,                0.65741,                 1.3826,              0.0012476,              0.0012476,              0.0012476
                     60,                 1.0948,                0.65002,                 1.0982,                0.91161,                0.93617,                0.95024,                0.51006,                 1.4842,                0.70128,                 1.3561,              0.0012344,              0.0012344,              0.0012344
                     61,                  1.101,                0.64499,                 1.1231,                0.86259,                0.85106,                0.89647,                0.47446,                 1.6143,                 0.7289,                 1.4902,              0.0012212,              0.0012212,              0.0012212
                     62,                 1.1257,                0.64586,                 1.1198,                0.93209,                0.85106,                0.92524,                 0.4871,                 1.6013,                0.68808,                  1.477,               0.001208,               0.001208,               0.001208
                     63,                 1.1295,                0.65193,                 1.1192,                0.89089,                0.85106,                0.91366,                0.47465,                 1.5987,                0.73576,                 1.4263,              0.0011948,              0.0011948,              0.0011948
                     64,                 1.0732,                0.63976,                  1.108,                0.95223,                0.84838,                0.94511,                0.51626,                 1.4824,                0.63907,                 1.3293,              0.0011816,              0.0011816,              0.0011816
                     65,                 1.0863,                0.62836,                 1.1006,                0.83835,                0.88286,                0.90322,                0.49054,                 1.5503,                0.75995,                 1.3912,              0.0011684,              0.0011684,              0.0011684
                     66,                 1.0767,                0.63208,                 1.1071,                0.89088,                0.86858,                0.91333,                0.45828,                 1.5863,                0.74787,                 1.4676,              0.0011552,              0.0011552,              0.0011552
                     67,                 1.0428,                0.62177,                 1.0587,                0.94241,                0.82979,                0.91377,                0.44615,                 1.6224,                0.79925,                  1.501,               0.001142,               0.001142,               0.001142
                     68,                 1.0624,                0.64139,                 1.0916,                0.83735,                0.87635,                0.89267,                0.49065,                 1.5434,                0.71702,                 1.4386,              0.0011288,              0.0011288,              0.0011288
                     69,                 1.0674,                0.60662,                 1.0917,                0.86424,                0.81274,                0.86991,                0.48469,                 1.5379,                0.71586,                  1.397,              0.0011156,              0.0011156,              0.0011156
                     70,                 1.0508,                0.61087,                 1.0981,                0.92929,                0.85106,                0.91516,                0.48251,                 1.5161,                0.71991,                 1.4047,              0.0011024,              0.0011024,              0.0011024
                     71,                 1.0504,                0.60351,                 1.0681,                0.96477,                0.82979,                0.91097,                0.45269,                 1.6491,                0.73175,                 1.4358,              0.0010892,              0.0010892,              0.0010892
                     72,                  1.085,                0.62577,                 1.0817,                0.91058,                0.86679,                0.93194,                0.48982,                 1.5347,                0.69577,                 1.3524,               0.001076,               0.001076,               0.001076
                     73,                 1.0553,                0.60105,                 1.0741,                0.85352,                0.86789,                0.91506,                0.47929,                 1.5718,                0.72625,                  1.413,              0.0010628,              0.0010628,              0.0010628
                     74,                 1.0196,                0.58453,                 1.0746,                0.86712,                0.89362,                0.90962,                0.46792,                 1.6055,                0.77561,                 1.4473,              0.0010496,              0.0010496,              0.0010496
                     75,                 1.0012,                0.58187,                 1.0913,                0.82995,                0.85106,                0.90113,                0.51966,                 1.4663,                0.67985,                 1.3698,              0.0010364,              0.0010364,              0.0010364
                     76,                 1.0533,                0.61989,                 1.0973,                 0.8863,                0.89362,                0.88643,                0.50301,                 1.4929,                0.64363,                 1.3751,              0.0010232,              0.0010232,              0.0010232
                     77,                 1.0129,                0.58608,                 1.0716,                0.86546,                0.87234,                0.89487,                0.49931,                 1.5135,                  0.656,                  1.434,                0.00101,                0.00101,                0.00101
                     78,                 1.0235,                0.57366,                 1.0741,                0.87263,                0.91489,                0.90408,                0.50363,                 1.5359,                0.67385,                 1.4381,              0.0009968,              0.0009968,              0.0009968
